MOGP_GENERATIONAL,7cc0037a-1439-11f1-9378-303ea725c124,Cooling,74,106,4.432232|5.000000,0.019632339477539062,5.0,4.484612|5.000000,4.432232|5.000000,4.484612|5.000000,5,55832715264.000000,N/A,2,5
MOGP_GENERATIONAL,7cc0037a-1439-11f1-9378-303ea725c124,Cooling,74,107,4.432232|5.000000,0.018140554428100586,5.0,4.484612|5.000000,4.432232|5.000000,4.484612|5.000000,5,77717716992.000000,N/A,2,5
MOGP_GENERATIONAL,7cc0037a-1439-11f1-9378-303ea725c124,Cooling,74,108,4.432232|5.000000,0.01900029182434082,5.0,4.484612|5.000000,4.432232|5.000000,4.484612|5.000000,5,68332269568.000000,N/A,2,5
MOGP_GENERATIONAL,7cc0037a-1439-11f1-9378-303ea725c124,Cooling,74,109,4.432232|5.000000,0.019856691360473633,5.0,4.484612|5.000000,4.432232|5.000000,4.484612|5.000000,5,123875958784.000000,N/A,2,5
MOGP_GENERATIONAL,7cc0037a-1439-11f1-9378-303ea725c124,Cooling,74,110,4.432232|5.000000,0.02012944221496582,5.0,4.484612|5.000000,4.432232|5.000000,4.484612|5.000000,5,124417589248.000000,N/A,2,5
MOGP_GENERATIONAL,7cc0037a-1439-11f1-9378-303ea725c124,Cooling,74,111,4.432232|5.000000,0.0200197696685791,5.0,4.484612|5.000000,4.432232|5.000000,4.484612|5.000000,5,99498754048.000000,N/A,2,5
MOGP_GENERATIONAL,7cc0037a-1439-11f1-9378-303ea725c124,Cooling,74,112,4.432232|5.000000,0.019258737564086914,5.0,4.484612|5.000000,4.432232|5.000000,4.484612|5.000000,5,62270660608.000000,N/A,2,5
MOGP_GENERATIONAL,7cc0037a-1439-11f1-9378-303ea725c124,Cooling,74,113,4.432232|5.000000,0.018487930297851562,5.0,4.484612|5.000000,4.432232|5.000000,4.484612|5.000000,5,93855604736.000000,N/A,2,5
MOGP_GENERATIONAL,7cc0037a-1439-11f1-9378-303ea725c124,Cooling,74,114,4.432232|5.000000,0.018779993057250977,5.0,4.484612|5.000000,4.432232|5.000000,4.484612|5.000000,5,59612532736.000000,N/A,2,5
MOGP_GENERATIONAL,7cc0037a-1439-11f1-9378-303ea725c124,Cooling,74,115,4.432232|5.000000,0.019044160842895508,5.0,4.484612|5.000000,4.432232|5.000000,4.484612|5.000000,5,86278529024.000000,N/A,2,5
MOGP_GENERATIONAL,7cc0037a-1439-11f1-9378-303ea725c124,Cooling,74,116,4.432232|5.000000,0.019164085388183594,5.0,4.484612|5.000000,4.432232|5.000000,4.484612|5.000000,5,121522421760.000000,N/A,2,5
MOGP_GENERATIONAL,7cc0037a-1439-11f1-9378-303ea725c124,Cooling,74,117,4.432232|5.000000,0.019334793090820312,5.0,4.484612|5.000000,4.432232|5.000000,4.484612|5.000000,5,120871632896.000000,N/A,2,5
