MOGP_GENERATIONAL,f4fa7c9a-1442-11f1-9378-303ea725c124,Cooling,74,96,4.585071|3.000000,0.019076108932495117,3.0,4.457140|3.000000,4.585071|3.000000,4.457140|3.000000,3,67811299328.000000,N/A,1,5
MOGP_GENERATIONAL,f4fa7c9a-1442-11f1-9378-303ea725c124,Cooling,74,97,4.585071|3.000000,0.01824808120727539,3.0,4.457140|3.000000,4.585071|3.000000,4.457140|3.000000,3,66674782208.000000,N/A,1,5
MOGP_GENERATIONAL,f4fa7c9a-1442-11f1-9378-303ea725c124,Cooling,74,98,4.585071|3.000000,0.01937103271484375,3.0,4.457140|3.000000,4.585071|3.000000,4.457140|3.000000,3,99498745856.000000,N/A,1,5
MOGP_GENERATIONAL,f4fa7c9a-1442-11f1-9378-303ea725c124,Cooling,74,99,4.585071|3.000000,0.01908731460571289,3.0,4.457140|3.000000,4.585071|3.000000,4.457140|3.000000,3,22449412096.000000,N/A,1,5
MOGP_GENERATIONAL,f4fa7c9a-1442-11f1-9378-303ea725c124,Cooling,74,100,4.585071|3.000000,0.020282506942749023,3.0,4.457140|3.000000,4.585071|3.000000,4.457140|3.000000,3,89517662208.000000,N/A,1,5
MOGP_GENERATIONAL,f4fa7c9a-1442-11f1-9378-303ea725c124,Cooling,74,101,4.585071|3.000000,0.01860666275024414,3.0,4.457140|3.000000,4.585071|3.000000,4.457140|3.000000,3,75830771712.000000,N/A,1,5
MOGP_GENERATIONAL,f4fa7c9a-1442-11f1-9378-303ea725c124,Cooling,74,102,4.585071|3.000000,0.019574403762817383,3.0,4.457140|3.000000,4.585071|3.000000,4.457140|3.000000,3,86276513792.000000,N/A,1,5
MOGP_GENERATIONAL,f4fa7c9a-1442-11f1-9378-303ea725c124,Cooling,74,103,4.585071|3.000000,0.01946711540222168,3.0,4.457140|3.000000,4.585071|3.000000,4.457140|3.000000,3,86277152768.000000,N/A,1,5
MOGP_GENERATIONAL,f4fa7c9a-1442-11f1-9378-303ea725c124,Cooling,74,104,4.585071|3.000000,0.0196990966796875,3.0,4.457140|3.000000,4.585071|3.000000,4.457140|3.000000,3,135146078208.000000,N/A,1,5
MOGP_GENERATIONAL,f4fa7c9a-1442-11f1-9378-303ea725c124,Cooling,74,105,4.585071|3.000000,0.020071029663085938,3.0,4.457140|3.000000,4.585071|3.000000,4.457140|3.000000,3,97160773632.000000,N/A,1,5
MOGP_GENERATIONAL,f4fa7c9a-1442-11f1-9378-303ea725c124,Cooling,74,106,4.585071|3.000000,0.0193173885345459,3.0,4.457140|3.000000,4.585071|3.000000,4.457140|3.000000,3,103519617024.000000,N/A,1,5
MOGP_GENERATIONAL,f4fa7c9a-1442-11f1-9378-303ea725c124,Cooling,74,107,4.585071|3.000000,0.019084692001342773,3.0,4.457140|3.000000,4.585071|3.000000,4.457140|3.000000,3,61264199680.000000,N/A,1,5
MOGP_GENERATIONAL,f4fa7c9a-1442-11f1-9378-303ea725c124,Cooling,74,108,4.585071|3.000000,0.01892709732055664,3.0,4.457140|3.000000,4.585071|3.000000,4.457140|3.000000,3,96944480256.000000,N/A,1,5
MOGP_GENERATIONAL,f4fa7c9a-1442-11f1-9378-303ea725c124,Cooling,74,109,4.585071|3.000000,0.019161462783813477,3.0,4.457140|3.000000,4.585071|3.000000,4.457140|3.000000,3,82968600576.000000,N/A,1,5
MOGP_GENERATIONAL,f4fa7c9a-1442-11f1-9378-303ea725c124,Cooling,74,110,4.585071|3.000000,0.02073192596435547,3.0,4.457140|3.000000,4.585071|3.000000,4.457140|3.000000,3,123907260416.000000,N/A,1,5
MOGP_GENERATIONAL,f4fa7c9a-1442-11f1-9378-303ea725c124,Cooling,74,111,4.585071|3.000000,0.01969170570373535,3.0,4.457140|3.000000,4.585071|3.000000,4.457140|3.000000,3,146440536064.000000,N/A,1,5
MOGP_GENERATIONAL,f4fa7c9a-1442-11f1-9378-303ea725c124,Cooling,74,112,4.585071|3.000000,0.019654273986816406,3.0,4.457140|3.000000,4.585071|3.000000,4.457140|3.000000,3,148725022720.000000,N/A,1,5
MOGP_GENERATIONAL,f4fa7c9a-1442-11f1-9378-303ea725c124,Cooling,74,113,4.585071|3.000000,0.018610239028930664,3.0,4.457140|3.000000,4.585071|3.000000,4.457140|3.000000,3,66046455808.000000,N/A,1,5
