MOGP_GENERATIONAL,c79e38ba-147c-11f1-9378-303ea725c124,Boston,74,74,7.700258|23.000000|3.000000,0.02789020538330078,23.0,7.602951|23.000000|3.000000,7.700258|23.000000|3.000000,7.602951|23.000000|3.000000,23,95819292672.000000,N/A,2,5
MOGP_GENERATIONAL,c79e38ba-147c-11f1-9378-303ea725c124,Boston,74,75,7.700258|23.000000|3.000000,0.026062488555908203,23.0,7.602951|23.000000|3.000000,7.700258|23.000000|3.000000,7.602951|23.000000|3.000000,23,68901134336.000000,N/A,2,5
MOGP_GENERATIONAL,c79e38ba-147c-11f1-9378-303ea725c124,Boston,74,76,7.700258|23.000000|3.000000,0.026137590408325195,23.0,7.602951|23.000000|3.000000,7.700258|23.000000|3.000000,7.602951|23.000000|3.000000,23,74694303744.000000,N/A,2,5
MOGP_GENERATIONAL,c79e38ba-147c-11f1-9378-303ea725c124,Boston,74,77,7.700258|23.000000|3.000000,0.02673506736755371,23.0,7.602951|23.000000|3.000000,7.700258|23.000000|3.000000,7.602951|23.000000|3.000000,23,62597328896.000000,N/A,2,5
MOGP_GENERATIONAL,c79e38ba-147c-11f1-9378-303ea725c124,Boston,74,78,7.700258|23.000000|3.000000,0.02653026580810547,23.0,7.602951|23.000000|3.000000,7.700258|23.000000|3.000000,7.602951|23.000000|3.000000,23,99458424832.000000,N/A,2,5
MOGP_GENERATIONAL,c79e38ba-147c-11f1-9378-303ea725c124,Boston,74,79,7.700258|23.000000|3.000000,0.027020931243896484,23.0,7.602951|23.000000|3.000000,7.700258|23.000000|3.000000,7.602951|23.000000|3.000000,23,53673615360.000000,N/A,2,5
MOGP_GENERATIONAL,c79e38ba-147c-11f1-9378-303ea725c124,Boston,74,80,7.700258|23.000000|3.000000,0.02673935890197754,23.0,7.602951|23.000000|3.000000,7.700258|23.000000|3.000000,7.602951|23.000000|3.000000,23,59649511424.000000,N/A,2,5
MOGP_GENERATIONAL,c79e38ba-147c-11f1-9378-303ea725c124,Boston,74,81,7.700258|23.000000|3.000000,0.02690744400024414,23.0,7.602951|23.000000|3.000000,7.700258|23.000000|3.000000,7.602951|23.000000|3.000000,23,110810669056.000000,N/A,2,5
MOGP_GENERATIONAL,c79e38ba-147c-11f1-9378-303ea725c124,Boston,74,82,7.700258|23.000000|3.000000,0.025673627853393555,23.0,7.602951|23.000000|3.000000,7.700258|23.000000|3.000000,7.602951|23.000000|3.000000,23,2660326400.000000,N/A,2,5
MOGP_GENERATIONAL,c79e38ba-147c-11f1-9378-303ea725c124,Boston,74,83,7.700258|23.000000|3.000000,0.026924610137939453,23.0,7.602951|23.000000|3.000000,7.700258|23.000000|3.000000,7.602951|23.000000|3.000000,23,58942320640.000000,N/A,2,5
MOGP_GENERATIONAL,c79e38ba-147c-11f1-9378-303ea725c124,Boston,74,84,7.700258|23.000000|3.000000,0.02640390396118164,23.0,7.602951|23.000000|3.000000,7.700258|23.000000|3.000000,7.602951|23.000000|3.000000,23,63784628224.000000,N/A,2,5
MOGP_GENERATIONAL,c79e38ba-147c-11f1-9378-303ea725c124,Boston,74,85,7.700258|23.000000|3.000000,0.02736043930053711,23.0,7.602951|23.000000|3.000000,7.700258|23.000000|3.000000,7.602951|23.000000|3.000000,23,96723501056.000000,N/A,2,5
MOGP_GENERATIONAL,c79e38ba-147c-11f1-9378-303ea725c124,Boston,74,86,7.700258|23.000000|3.000000,0.0259857177734375,23.0,7.602951|23.000000|3.000000,7.700258|23.000000|3.000000,7.602951|23.000000|3.000000,23,54283382784.000000,N/A,2,5
MOGP_GENERATIONAL,c79e38ba-147c-11f1-9378-303ea725c124,Boston,74,87,7.700258|23.000000|3.000000,0.026014328002929688,23.0,7.602951|23.000000|3.000000,7.700258|23.000000|3.000000,7.602951|23.000000|3.000000,23,102863495168.000000,N/A,2,5
MOGP_GENERATIONAL,c79e38ba-147c-11f1-9378-303ea725c124,Boston,74,88,7.700258|23.000000|3.000000,0.026780366897583008,23.0,7.602951|23.000000|3.000000,7.700258|23.000000|3.000000,7.602951|23.000000|3.000000,23,92772892672.000000,N/A,2,5
MOGP_GENERATIONAL,c79e38ba-147c-11f1-9378-303ea725c124,Boston,74,89,7.700258|23.000000|3.000000,0.026259899139404297,23.0,7.602951|23.000000|3.000000,7.700258|23.000000|3.000000,7.602951|23.000000|3.000000,23,93149880320.000000,N/A,2,5
MOGP_GENERATIONAL,c79e38ba-147c-11f1-9378-303ea725c124,Boston,74,90,7.700258|23.000000|3.000000,0.02594470977783203,23.0,7.602951|23.000000|3.000000,7.700258|23.000000|3.000000,7.602951|23.000000|3.000000,23,91701403648.000000,N/A,2,5
MOGP_GENERATIONAL,c79e38ba-147c-11f1-9378-303ea725c124,Boston,74,91,7.700258|23.000000|3.000000,0.027463436126708984,23.0,7.602951|23.000000|3.000000,7.700258|23.000000|3.000000,7.602951|23.000000|3.000000,23,119058661376.000000,N/A,2,5
MOGP_GENERATIONAL,c79e38ba-147c-11f1-9378-303ea725c124,Boston,74,92,7.700258|23.000000|3.000000,0.026816368103027344,23.0,7.602951|23.000000|3.000000,7.700258|23.000000|3.000000,7.602951|23.000000|3.000000,23,70519488512.000000,N/A,2,5
MOGP_GENERATIONAL,c79e38ba-147c-11f1-9378-303ea725c124,Boston,74,93,7.700258|23.000000|3.000000,0.026232481002807617,23.0,7.602951|23.000000|3.000000,7.700258|23.000000|3.000000,7.602951|23.000000|3.000000,23,40989966336.000000,N/A,2,5
MOGP_GENERATIONAL,c79e38ba-147c-11f1-9378-303ea725c124,Boston,74,94,7.700258|23.000000|3.000000,0.026813507080078125,23.0,7.602951|23.000000|3.000000,7.700258|23.000000|3.000000,7.602951|23.000000|3.000000,23,101501689856.000000,N/A,2,5
MOGP_GENERATIONAL,c79e38ba-147c-11f1-9378-303ea725c124,Boston,74,95,7.700258|23.000000|3.000000,0.027479171752929688,23.0,7.602951|23.000000|3.000000,7.700258|23.000000|3.000000,7.602951|23.000000|3.000000,23,36219105280.000000,N/A,2,5
MOGP_GENERATIONAL,c79e38ba-147c-11f1-9378-303ea725c124,Boston,74,96,7.700258|23.000000|3.000000,0.027590274810791016,23.0,7.602951|23.000000|3.000000,7.700258|23.000000|3.000000,7.602951|23.000000|3.000000,23,72984846336.000000,N/A,2,5
MOGP_GENERATIONAL,c79e38ba-147c-11f1-9378-303ea725c124,Boston,74,97,7.700258|23.000000|3.000000,0.026564359664916992,23.0,7.602951|23.000000|3.000000,7.700258|23.000000|3.000000,7.602951|23.000000|3.000000,23,105355837440.000000,N/A,2,5
MOGP_GENERATIONAL,c79e38ba-147c-11f1-9378-303ea725c124,Boston,74,98,7.700258|23.000000|3.000000,0.026215553283691406,23.0,7.602951|23.000000|3.000000,7.700258|23.000000|3.000000,7.602951|23.000000|3.000000,23,80366125056.000000,N/A,2,5
MOGP_GENERATIONAL,c79e38ba-147c-11f1-9378-303ea725c124,Boston,74,99,7.700258|23.000000|3.000000,0.026612281799316406,23.0,7.602951|23.000000|3.000000,7.700258|23.000000|3.000000,7.602951|23.000000|3.000000,23,60276154368.000000,N/A,2,5
MOGP_GENERATIONAL,c79e38ba-147c-11f1-9378-303ea725c124,Boston,74,100,7.700258|23.000000|3.000000,0.026299476623535156,23.0,7.602951|23.000000|3.000000,7.700258|23.000000|3.000000,7.602951|23.000000|3.000000,23,52393570304.000000,N/A,2,5
MOGP_GENERATIONAL,c79e38ba-147c-11f1-9378-303ea725c124,Boston,74,101,7.700258|23.000000|3.000000,0.026750564575195312,23.0,7.602951|23.000000|3.000000,7.700258|23.000000|3.000000,7.602951|23.000000|3.000000,23,53311193088.000000,N/A,2,5
