MOGP_GENERATIONAL,3e263450-145b-11f1-9378-303ea725c124,Cooling,74,70,4.598747|3.000000|1.000000,0.028056859970092773,3.0,4.424264|3.000000|1.000000,4.598747|3.000000|1.000000,4.424264|3.000000|1.000000,3,136992940032.000000,N/A,2,5
MOGP_GENERATIONAL,3e263450-145b-11f1-9378-303ea725c124,Cooling,74,71,4.598747|3.000000|1.000000,0.026168107986450195,3.0,4.424264|3.000000|1.000000,4.598747|3.000000|1.000000,4.424264|3.000000|1.000000,3,110856814592.000000,N/A,2,5
MOGP_GENERATIONAL,3e263450-145b-11f1-9378-303ea725c124,Cooling,74,72,4.598747|3.000000|1.000000,0.026011228561401367,3.0,4.424264|3.000000|1.000000,4.598747|3.000000|1.000000,4.424264|3.000000|1.000000,3,107620597760.000000,N/A,2,5
MOGP_GENERATIONAL,3e263450-145b-11f1-9378-303ea725c124,Cooling,74,73,4.598747|3.000000|1.000000,0.027770519256591797,3.0,4.424264|3.000000|1.000000,4.598747|3.000000|1.000000,4.424264|3.000000|1.000000,3,127898517504.000000,N/A,2,5
MOGP_GENERATIONAL,3e263450-145b-11f1-9378-303ea725c124,Cooling,74,74,4.598747|3.000000|1.000000,0.027997493743896484,3.0,4.424264|3.000000|1.000000,4.598747|3.000000|1.000000,4.424264|3.000000|1.000000,3,139997315072.000000,N/A,2,5
MOGP_GENERATIONAL,3e263450-145b-11f1-9378-303ea725c124,Cooling,74,75,4.598747|3.000000|1.000000,0.025424718856811523,3.0,4.424264|3.000000|1.000000,4.598747|3.000000|1.000000,4.424264|3.000000|1.000000,3,61822615552.000000,N/A,2,5
MOGP_GENERATIONAL,3e263450-145b-11f1-9378-303ea725c124,Cooling,74,76,4.598747|3.000000|1.000000,0.026614904403686523,3.0,4.424264|3.000000|1.000000,4.598747|3.000000|1.000000,4.424264|3.000000|1.000000,3,65601507328.000000,N/A,2,5
MOGP_GENERATIONAL,3e263450-145b-11f1-9378-303ea725c124,Cooling,74,77,4.598747|3.000000|1.000000,0.027261734008789062,3.0,4.424264|3.000000|1.000000,4.598747|3.000000|1.000000,4.424264|3.000000|1.000000,3,86978117632.000000,N/A,2,5
MOGP_GENERATIONAL,3e263450-145b-11f1-9378-303ea725c124,Cooling,74,78,4.598747|3.000000|1.000000,0.027705669403076172,3.0,4.424264|3.000000|1.000000,4.598747|3.000000|1.000000,4.424264|3.000000|1.000000,3,116767531008.000000,N/A,2,5
MOGP_GENERATIONAL,3e263450-145b-11f1-9378-303ea725c124,Cooling,74,79,4.598747|3.000000|1.000000,0.02684640884399414,3.0,4.424264|3.000000|1.000000,4.598747|3.000000|1.000000,4.424264|3.000000|1.000000,3,99499319296.000000,N/A,2,5
MOGP_GENERATIONAL,3e263450-145b-11f1-9378-303ea725c124,Cooling,74,80,4.598747|3.000000|1.000000,0.027800321578979492,3.0,4.424264|3.000000|1.000000,4.598747|3.000000|1.000000,4.424264|3.000000|1.000000,3,92600000512.000000,N/A,2,5
MOGP_GENERATIONAL,3e263450-145b-11f1-9378-303ea725c124,Cooling,74,81,4.598747|3.000000|1.000000,0.02625727653503418,3.0,4.424264|3.000000|1.000000,4.598747|3.000000|1.000000,4.424264|3.000000|1.000000,3,128017145856.000000,N/A,2,5
MOGP_GENERATIONAL,3e263450-145b-11f1-9378-303ea725c124,Cooling,74,82,4.598747|3.000000|1.000000,0.026710033416748047,3.0,4.424264|3.000000|1.000000,4.598747|3.000000|1.000000,4.424264|3.000000|1.000000,3,110885896192.000000,N/A,2,5
MOGP_GENERATIONAL,3e263450-145b-11f1-9378-303ea725c124,Cooling,74,83,4.598747|3.000000|1.000000,0.027510404586791992,3.0,4.424264|3.000000|1.000000,4.598747|3.000000|1.000000,4.424264|3.000000|1.000000,3,115387138048.000000,N/A,2,5
MOGP_GENERATIONAL,3e263450-145b-11f1-9378-303ea725c124,Cooling,74,84,4.598747|3.000000|1.000000,0.02696990966796875,3.0,4.424264|3.000000|1.000000,4.598747|3.000000|1.000000,4.424264|3.000000|1.000000,3,82304524288.000000,N/A,2,5
MOGP_GENERATIONAL,3e263450-145b-11f1-9378-303ea725c124,Cooling,74,85,4.598747|3.000000|1.000000,0.026662349700927734,3.0,4.424264|3.000000|1.000000,4.598747|3.000000|1.000000,4.424264|3.000000|1.000000,3,78517010432.000000,N/A,2,5
MOGP_GENERATIONAL,3e263450-145b-11f1-9378-303ea725c124,Cooling,74,86,4.598747|3.000000|1.000000,0.026551008224487305,3.0,4.424264|3.000000|1.000000,4.598747|3.000000|1.000000,4.424264|3.000000|1.000000,3,118054543360.000000,N/A,2,5
MOGP_GENERATIONAL,3e263450-145b-11f1-9378-303ea725c124,Cooling,74,87,4.598747|3.000000|1.000000,0.028177976608276367,3.0,4.424264|3.000000|1.000000,4.598747|3.000000|1.000000,4.424264|3.000000|1.000000,3,94487322624.000000,N/A,2,5
MOGP_GENERATIONAL,3e263450-145b-11f1-9378-303ea725c124,Cooling,74,88,4.598747|3.000000|1.000000,0.026332855224609375,3.0,4.424264|3.000000|1.000000,4.598747|3.000000|1.000000,4.424264|3.000000|1.000000,3,70533652480.000000,N/A,2,5
MOGP_GENERATIONAL,3e263450-145b-11f1-9378-303ea725c124,Cooling,74,89,4.598747|3.000000|1.000000,0.02722477912902832,3.0,4.424264|3.000000|1.000000,4.598747|3.000000|1.000000,4.424264|3.000000|1.000000,3,69117509632.000000,N/A,2,5
MOGP_GENERATIONAL,3e263450-145b-11f1-9378-303ea725c124,Cooling,74,90,4.598747|3.000000|1.000000,0.026307106018066406,3.0,4.424264|3.000000|1.000000,4.598747|3.000000|1.000000,4.424264|3.000000|1.000000,3,70533275648.000000,N/A,2,5
MOGP_GENERATIONAL,3e263450-145b-11f1-9378-303ea725c124,Cooling,74,91,4.598747|3.000000|1.000000,0.026946306228637695,3.0,4.424264|3.000000|1.000000,4.598747|3.000000|1.000000,4.424264|3.000000|1.000000,3,97200398336.000000,N/A,2,5
MOGP_GENERATIONAL,3e263450-145b-11f1-9378-303ea725c124,Cooling,74,92,4.598747|3.000000|1.000000,0.02700185775756836,3.0,4.424264|3.000000|1.000000,4.598747|3.000000|1.000000,4.424264|3.000000|1.000000,3,23566671872.000000,N/A,2,5
MOGP_GENERATIONAL,3e263450-145b-11f1-9378-303ea725c124,Cooling,74,93,4.598747|3.000000|1.000000,0.026687145233154297,3.0,4.424264|3.000000|1.000000,4.598747|3.000000|1.000000,4.424264|3.000000|1.000000,3,1364507.750000,N/A,2,5
MOGP_GENERATIONAL,3e263450-145b-11f1-9378-303ea725c124,Cooling,74,94,4.598747|3.000000|1.000000,0.027482986450195312,3.0,4.424264|3.000000|1.000000,4.598747|3.000000|1.000000,4.424264|3.000000|1.000000,3,96734273536.000000,N/A,2,5
MOGP_GENERATIONAL,3e263450-145b-11f1-9378-303ea725c124,Cooling,74,95,4.598747|3.000000|1.000000,0.02692556381225586,3.0,4.424264|3.000000|1.000000,4.598747|3.000000|1.000000,4.424264|3.000000|1.000000,3,48288075776.000000,N/A,2,5
MOGP_GENERATIONAL,3e263450-145b-11f1-9378-303ea725c124,Cooling,74,96,4.598747|3.000000|1.000000,0.027106523513793945,3.0,4.424264|3.000000|1.000000,4.598747|3.000000|1.000000,4.424264|3.000000|1.000000,3,120926846976.000000,N/A,2,5
