MOGP_GENERATIONAL,0d379db4-151b-11f1-9378-303ea725c124,Cooling,74,94,4.605806|3.000000,0.01889514923095703,3.0,4.407163|3.000000,4.605806|3.000000,4.407163|3.000000,3,110311849984.000000,N/A,1,5
MOGP_GENERATIONAL,0d379db4-151b-11f1-9378-303ea725c124,Cooling,74,95,4.605806|3.000000,0.019704818725585938,3.0,4.407163|3.000000,4.605806|3.000000,4.407163|3.000000,3,70536871936.000000,N/A,1,5
MOGP_GENERATIONAL,0d379db4-151b-11f1-9378-303ea725c124,Cooling,74,96,4.605806|3.000000,0.019009828567504883,3.0,4.407163|3.000000,4.605806|3.000000,4.407163|3.000000,3,93313540096.000000,N/A,1,5
MOGP_GENERATIONAL,0d379db4-151b-11f1-9378-303ea725c124,Cooling,74,97,4.605806|3.000000,0.019376277923583984,3.0,4.407163|3.000000,4.605806|3.000000,4.407163|3.000000,3,70533693440.000000,N/A,1,5
MOGP_GENERATIONAL,0d379db4-151b-11f1-9378-303ea725c124,Cooling,74,98,4.605806|3.000000,0.01914811134338379,3.0,4.407163|3.000000,4.605806|3.000000,4.407163|3.000000,3,48138186752.000000,N/A,1,5
MOGP_GENERATIONAL,0d379db4-151b-11f1-9378-303ea725c124,Cooling,74,99,4.605806|3.000000,0.019248008728027344,3.0,4.407163|3.000000,4.605806|3.000000,4.407163|3.000000,3,75483078656.000000,N/A,1,5
MOGP_GENERATIONAL,0d379db4-151b-11f1-9378-303ea725c124,Cooling,74,100,4.605806|3.000000,0.019814491271972656,3.0,4.407163|3.000000,4.605806|3.000000,4.407163|3.000000,3,107423473664.000000,N/A,1,5
MOGP_GENERATIONAL,0d379db4-151b-11f1-9378-303ea725c124,Cooling,74,101,4.605806|3.000000,0.0187685489654541,3.0,4.407163|3.000000,4.605806|3.000000,4.407163|3.000000,3,70533685248.000000,N/A,1,5
MOGP_GENERATIONAL,0d379db4-151b-11f1-9378-303ea725c124,Cooling,74,102,4.605806|3.000000,0.019031286239624023,3.0,4.407163|3.000000,4.605806|3.000000,4.407163|3.000000,3,70532972544.000000,N/A,1,5
MOGP_GENERATIONAL,0d379db4-151b-11f1-9378-303ea725c124,Cooling,74,103,4.605806|3.000000,0.01955556869506836,3.0,4.407163|3.000000,4.605806|3.000000,4.407163|3.000000,3,137000525824.000000,N/A,1,5
MOGP_GENERATIONAL,0d379db4-151b-11f1-9378-303ea725c124,Cooling,74,104,4.605806|3.000000,0.019650697708129883,3.0,4.407163|3.000000,4.605806|3.000000,4.407163|3.000000,3,86276915200.000000,N/A,1,5
MOGP_GENERATIONAL,0d379db4-151b-11f1-9378-303ea725c124,Cooling,74,105,4.605806|3.000000,0.0192720890045166,3.0,4.407163|3.000000,4.605806|3.000000,4.407163|3.000000,3,110184349696.000000,N/A,1,5
MOGP_GENERATIONAL,0d379db4-151b-11f1-9378-303ea725c124,Cooling,74,106,4.605806|3.000000,0.019432783126831055,3.0,4.407163|3.000000,4.605806|3.000000,4.407163|3.000000,3,116081696768.000000,N/A,1,5
MOGP_GENERATIONAL,0d379db4-151b-11f1-9378-303ea725c124,Cooling,74,107,4.605806|3.000000,0.018220186233520508,3.0,4.407163|3.000000,4.605806|3.000000,4.407163|3.000000,3,60217.539062,N/A,1,5
MOGP_GENERATIONAL,0d379db4-151b-11f1-9378-303ea725c124,Cooling,74,108,4.605806|3.000000,0.019089698791503906,3.0,4.407163|3.000000,4.605806|3.000000,4.407163|3.000000,3,93166952448.000000,N/A,1,5
MOGP_GENERATIONAL,0d379db4-151b-11f1-9378-303ea725c124,Cooling,74,109,4.605806|3.000000,0.019544124603271484,3.0,4.407163|3.000000,4.605806|3.000000,4.407163|3.000000,3,99498762240.000000,N/A,1,5
MOGP_GENERATIONAL,0d379db4-151b-11f1-9378-303ea725c124,Cooling,74,110,4.605806|3.000000,0.020094633102416992,3.0,4.407163|3.000000,4.605806|3.000000,4.407163|3.000000,3,105174179840.000000,N/A,1,5
