MOGP_GENERATIONAL,29a80882-1537-11f1-9378-303ea725c124,Cooling,74,95,4.495635|3.000000,0.020011186599731445,3.0,4.664126|3.000000,4.495635|3.000000,4.664126|3.000000,3,85362810880.000000,N/A,1,5
MOGP_GENERATIONAL,29a80882-1537-11f1-9378-303ea725c124,Cooling,74,96,4.495635|3.000000,0.019194841384887695,3.0,4.664126|3.000000,4.495635|3.000000,4.664126|3.000000,3,49400582144.000000,N/A,1,5
MOGP_GENERATIONAL,29a80882-1537-11f1-9378-303ea725c124,Cooling,74,97,4.495635|3.000000,0.01890397071838379,3.0,4.664126|3.000000,4.495635|3.000000,4.664126|3.000000,3,86277169152.000000,N/A,1,5
MOGP_GENERATIONAL,29a80882-1537-11f1-9378-303ea725c124,Cooling,74,98,4.495635|3.000000,0.01982426643371582,3.0,4.664126|3.000000,4.495635|3.000000,4.664126|3.000000,3,94898323456.000000,N/A,1,5
MOGP_GENERATIONAL,29a80882-1537-11f1-9378-303ea725c124,Cooling,74,99,4.495635|3.000000,0.019381999969482422,3.0,4.664126|3.000000,4.495635|3.000000,4.664126|3.000000,3,115106709504.000000,N/A,1,5
MOGP_GENERATIONAL,29a80882-1537-11f1-9378-303ea725c124,Cooling,74,100,4.495635|3.000000,0.01961827278137207,3.0,4.664126|3.000000,4.495635|3.000000,4.664126|3.000000,3,74344022016.000000,N/A,1,5
MOGP_GENERATIONAL,29a80882-1537-11f1-9378-303ea725c124,Cooling,74,101,4.495635|3.000000,0.01854729652404785,3.0,4.664126|3.000000,4.495635|3.000000,4.664126|3.000000,3,104938307584.000000,N/A,1,5
MOGP_GENERATIONAL,29a80882-1537-11f1-9378-303ea725c124,Cooling,74,102,4.495635|3.000000,0.019468069076538086,3.0,4.664126|3.000000,4.495635|3.000000,4.664126|3.000000,3,80294526976.000000,N/A,1,5
MOGP_GENERATIONAL,29a80882-1537-11f1-9378-303ea725c124,Cooling,74,103,4.495635|3.000000,0.01945185661315918,3.0,4.664126|3.000000,4.495635|3.000000,4.664126|3.000000,3,106432847872.000000,N/A,1,5
MOGP_GENERATIONAL,29a80882-1537-11f1-9378-303ea725c124,Cooling,74,104,4.495635|3.000000,0.01990365982055664,3.0,4.664126|3.000000,4.495635|3.000000,4.664126|3.000000,3,96839409664.000000,N/A,1,5
MOGP_GENERATIONAL,29a80882-1537-11f1-9378-303ea725c124,Cooling,74,105,4.495635|3.000000,0.01967167854309082,3.0,4.664126|3.000000,4.495635|3.000000,4.664126|3.000000,3,69077319680.000000,N/A,1,5
MOGP_GENERATIONAL,29a80882-1537-11f1-9378-303ea725c124,Cooling,74,106,4.495635|3.000000,0.018954992294311523,3.0,4.664126|3.000000,4.495635|3.000000,4.664126|3.000000,3,93757587456.000000,N/A,1,5
MOGP_GENERATIONAL,29a80882-1537-11f1-9378-303ea725c124,Cooling,74,107,4.495635|3.000000,0.01800060272216797,3.0,4.664126|3.000000,4.495635|3.000000,4.664126|3.000000,3,78984192000.000000,N/A,1,5
MOGP_GENERATIONAL,29a80882-1537-11f1-9378-303ea725c124,Cooling,74,108,4.495635|3.000000,0.018992185592651367,3.0,4.664126|3.000000,4.495635|3.000000,4.664126|3.000000,3,77417119744.000000,N/A,1,5
MOGP_GENERATIONAL,29a80882-1537-11f1-9378-303ea725c124,Cooling,74,109,4.495635|3.000000,0.019741296768188477,3.0,4.664126|3.000000,4.495635|3.000000,4.664126|3.000000,3,100839170048.000000,N/A,1,5
MOGP_GENERATIONAL,29a80882-1537-11f1-9378-303ea725c124,Cooling,74,110,4.495635|3.000000,0.02042078971862793,3.0,4.664126|3.000000,4.495635|3.000000,4.664126|3.000000,3,116177788928.000000,N/A,1,5
MOGP_GENERATIONAL,29a80882-1537-11f1-9378-303ea725c124,Cooling,74,111,4.495635|3.000000,0.019684314727783203,3.0,4.664126|3.000000,4.495635|3.000000,4.664126|3.000000,3,126440841216.000000,N/A,1,5
MOGP_GENERATIONAL,29a80882-1537-11f1-9378-303ea725c124,Cooling,74,112,4.495635|3.000000,0.018888235092163086,3.0,4.664126|3.000000,4.495635|3.000000,4.664126|3.000000,3,120626814976.000000,N/A,1,5
MOGP_GENERATIONAL,29a80882-1537-11f1-9378-303ea725c124,Cooling,74,113,4.495635|3.000000,0.018581390380859375,3.0,4.664126|3.000000,4.495635|3.000000,4.664126|3.000000,3,99498319872.000000,N/A,1,5
MOGP_GENERATIONAL,29a80882-1537-11f1-9378-303ea725c124,Cooling,74,114,4.495635|3.000000,0.019056081771850586,3.0,4.664126|3.000000,4.495635|3.000000,4.664126|3.000000,3,70580846592.000000,N/A,1,5
MOGP_GENERATIONAL,29a80882-1537-11f1-9378-303ea725c124,Cooling,74,115,4.495635|3.000000,0.01874542236328125,3.0,4.664126|3.000000,4.495635|3.000000,4.664126|3.000000,3,96460644352.000000,N/A,1,5
MOGP_GENERATIONAL,29a80882-1537-11f1-9378-303ea725c124,Cooling,74,116,4.495635|3.000000,0.018883943557739258,3.0,4.664126|3.000000,4.495635|3.000000,4.664126|3.000000,3,109972635648.000000,N/A,1,5
MOGP_GENERATIONAL,29a80882-1537-11f1-9378-303ea725c124,Cooling,74,117,4.495635|3.000000,0.019373655319213867,3.0,4.664126|3.000000,4.495635|3.000000,4.664126|3.000000,3,86277160960.000000,N/A,1,5
MOGP_GENERATIONAL,29a80882-1537-11f1-9378-303ea725c124,Cooling,74,118,4.495635|3.000000,0.01956772804260254,3.0,4.664126|3.000000,4.495635|3.000000,4.664126|3.000000,3,86276784128.000000,N/A,1,5
MOGP_GENERATIONAL,29a80882-1537-11f1-9378-303ea725c124,Cooling,74,119,4.495635|3.000000,0.02003645896911621,3.0,4.664126|3.000000,4.495635|3.000000,4.664126|3.000000,3,131147382784.000000,N/A,1,5
